група,ПІБ,var,L1-1,L1-2
K10,Прізвище3  Ім'я3,1,,
K10,Прізвище9  Ім'я9,2,,
K10,Прізвище16  Ім'я16,3,,
K10,Прізвище18  Ім'я18,4,,
K10,Прізвище25  Ім'я25,5,,9
K10,Прізвище30  Ім'я30,6,,
K10,Прізвище32  Ім'я32,7,,
K10,Прізвище39  Ім'я39,8,,
K10,Прізвище46  Ім'я46,9,,
K10,Прізвище49  Ім'я49,10,,
K10,Прізвище50  Ім'я50,11,,
K10,Прізвище55  Ім'я55,12,,
K10,Прізвище59  Ім'я59,13,,
K10,Прізвище65  Ім'я65,14,,
K10,Прізвище66  Ім'я66,15,,

K10,Прізвище75  Ім'я75,17,,
K10,Прізвище76  Ім'я76,18,,
K10,Прізвище83  Ім'я83,21,,
K10,Прізвище91  Ім'я91,23,,
K10,Прізвище92  Ім'я92,24,,
K10,Прізвище94  Ім'я94,25,,
K10,Прізвище110  Ім'я110,27,,
K10,Прізвище115  Ім'я115,28,,
K10,Прізвище119  Ім'я119,29,,
K10,Прізвище122  Ім'я122,30,,
K10,Прізвище123  Ім'я123,31,,
K11,Прізвище8  Ім'я8,32,,
K11,Прізвище13  Ім'я13,33,,
K11,Прізвище11  Ім'я11,34,,
K11,Прізвище17  Ім'я17,35,,
K11,Прізвище28  Ім'я28,36,,

K11,Прізвище31  Ім'я31,37,,
K11,Прізвище0  Ім'я0,38,6,9
K11,Прізвище36  Ім'я36,39,,
K11,Прізвище41  Ім'я41,40,,
K11,Прізвище38  Ім'я38,41,,
K11,Прізвище42  Ім'я42,42,,
K11,Прізвище44  Ім'я44,43,,
K11,Прізвище51  Ім'я51,44,6,9
K11,Прізвище60  Ім'я60,45,,
K11,Прізвище63  Ім'я63,46,,
K11,Прізвище68  Ім'я68,47,,
K11,Прізвище71  Ім'я71,48,,
K11,Прізвище74  Ім'я74,49,,


K11,Прізвище78  Ім'я78,50,,
K11,Прізвище81  Ім'я81,51,,
K11,Прізвище84  Ім'я84,52,6,9
K11,Прізвище87  Ім'я87,53,,
K11,Прізвище90  Ім'я90,54,,
K11,Прізвище96  Ім'я96,55,,
K11,Прізвище103  Ім'я103,56,,
K11,Прізвище106  Ім'я106,57,,
K11,Прізвище108  Ім'я108,58,,
K11,Прізвище109  Ім'я109,59,,
K11,Прізвище113  Ім'я113,60,,
K11,Прізвище124  Ім'я124,61,,
K11,Прізвище129  Ім'я129,62,,
K12,Прізвище14  Ім'я14,63,,

K12,Прізвище12  Ім'я12,64,6,9
K12,Прізвище19  Ім'я19,65,,
K12,Прізвище22  Ім'я22,66,,
K12,Прізвище26  Ім'я26,67,,
K12,Прізвище35  Ім'я35,68,,
K12,Прізвище2  Ім'я2,69,,
K12,Прізвище40  Ім'я40,70,6,9
K12,Прізвище43  Ім'я43,71,,
K12,Прізвище45  Ім'я45,72,,
